id,codigo_carrera,fecha_registro,matriculado,revisado
10641198,861,2022-06-16 09:23:11,1,0
1147006,101,2007-05-23 18:44:22,0,0
3909889,101,2007-05-24 11:23:19,1,0
1273894,103,2007-05-28 12:05:18,1,0
1392422,103,2007-05-29 06:28:45,0,0
4095514,103,2007-05-29 10:19:46,1,0
1050851,103,2007-05-29 10:25:11,1,0
4631321,103,2007-05-29 10:29:53,1,0
1056729,103,2007-05-29 10:30:35,1,0
1115942,103,2007-05-29 11:24:57,1,0
1116025,101,2007-05-29 11:43:25,1,0
4082836,103,2007-05-29 23:06:50,0,0
1075433,103,2007-05-30 07:29:52,1,0
1081738,101,2007-05-30 08:49:19,1,0
4087392,103,2007-05-30 10:00:39,0,0
4111053,103,2007-05-30 11:35:57,0,0
3971480,101,2007-05-30 16:07:12,1,0
2288173,101,2007-05-30 16:12:36,0,0
1144923,103,2007-05-30 17:48:29,0,0
3682377,101,2007-05-30 22:02:08,1,0
3527078,101,2007-05-30 22:55:47,1,0
1046973,103,2007-05-31 06:59:40,1,0
5499760,101,2007-05-31 08:58:28,1,0
4119224,0,2007-05-31 10:05:15,0,0
1037278,104,2007-05-31 11:10:20,1,0
1085837,103,2007-05-31 11:58:56,1,0
1037893,103,2007-05-31 12:05:22,1,0
4119224,101,2007-05-31 15:13:21,1,0
5496566,101,2007-05-31 16:55:05,1,0
4272659,101,2007-05-31 17:35:00,0,0
4095514,101,2007-05-31 17:36:57,1,0
1109257,101,2007-05-31 20:59:51,0,0
1109257,0,2007-05-31 21:30:31,0,0
1109257,123,2007-05-31 21:30:31,0,0
4630905,101,2007-05-31 21:34:28,1,0
4009833,103,2007-05-31 21:45:00,0,0
1932549,104,2007-06-01 10:38:23,1,0
1104421,101,2007-06-01 10:55:59,1,0
3637712,101,2007-06-01 11:00:40,1,0
4112135,101,2007-06-01 11:19:21,1,0
1062588,101,2007-06-01 11:25:42,1,0
1145456,103,2007-06-01 16:25:43,1,0
4110253,0,2007-06-01 17:31:45,0,0
4110253,123,2007-06-01 17:31:45,0,0
4110253,101,2007-06-01 17:51:47,0,0
4110253,103,2007-06-01 18:10:42,1,0
3646080,103,2007-06-02 18:51:49,1,0
1094515,103,2007-06-04 09:38:31,1,0
4114917,103,2007-06-04 10:09:18,1,0
3965412,101,2007-06-04 10:48:53,1,0
4086414,103,2007-06-04 17:52:47,1,0
5631822,103,2007-06-04 17:55:44,1,0
2322814,103,2007-06-04 18:12:30,1,0
3247177,103,2007-06-04 21:53:03,1,0
1145078,101,2007-06-05 14:47:30,1,0
4631413,103,2007-06-05 15:24:14,1,0
5495783,101,2007-06-05 15:49:17,1,0
3645372,103,2007-06-05 16:33:16,1,0
1115864,103,2007-06-05 17:39:09,1,0
1058248,103,2007-06-05 18:13:00,1,0
1112615,103,2007-06-05 18:22:37,1,0
4119848,103,2007-06-06 09:21:49,1,0
1092283,103,2007-06-06 10:06:30,1,0
1075256,103,2007-06-06 10:26:19,1,0
5486409,103,2007-06-06 10:49:12,1,0
1072592,103,2007-06-06 14:23:57,1,0
5633875,103,2007-06-06 14:33:57,1,0
3643297,103,2007-06-06 15:05:25,1,0
1108498,103,2007-06-06 15:38:33,1,0
5043011,101,2007-06-06 16:13:01,0,0
1818962,103,2007-06-06 17:47:55,1,0
1065357,103,2007-06-06 18:29:16,1,0
4118736,103,2007-06-07 19:15:21,1,0
3625773,103,2007-06-07 21:58:34,1,0
1078672,104,2007-06-08 09:18:03,0,0
1145833,103,2007-06-08 10:15:51,1,0
1080625,103,2007-06-08 10:53:56,1,0
1143283,101,2007-06-08 11:24:41,0,0
1143984,101,2007-06-08 14:38:39,0,0
1143984,103,2007-06-08 15:02:03,1,0
4005535,104,2007-06-08 15:10:19,1,0
4092572,103,2007-06-08 15:41:13,1,0
1106299,103,2007-06-08 16:32:57,1,0
1099700,103,2007-06-08 17:14:20,1,0
1036383,103,2007-06-08 17:27:58,1,0
3841746,103,2007-06-09 17:05:37,1,0
2895355,103,2007-06-10 13:12:42,0,0
4014046,102,2007-06-10 13:48:15,0,0
1084651,103,2007-06-10 18:43:01,0,0
4014046,103,2007-06-11 09:07:04,0,0
5492756,103,2007-06-11 09:54:33,1,0
3989229,105,2007-06-11 10:28:03,0,0
3625016,102,2007-06-11 10:29:15,1,0
1140338,103,2007-06-11 14:16:12,0,0
1140611,103,2007-06-11 14:35:03,0,0
1114399,104,2007-06-11 14:45:10,0,0
1104643,103,2007-06-11 15:00:43,1,0
5631676,103,2007-06-11 15:01:36,1,0
4083641,103,2007-06-11 16:06:14,1,0
1035296,103,2007-06-11 16:31:30,1,0
3989229,101,2007-06-11 16:41:08,1,0
1141548,103,2007-06-11 16:48:06,1,0
1849470,103,2007-06-11 18:13:14,0,0
4597647,103,2007-06-11 18:35:37,0,0
3653269,102,2007-06-12 01:06:41,1,0
1119027,103,2007-06-12 10:15:40,1,0
4088156,103,2007-06-12 10:43:20,0,0
1115720,103,2007-06-12 11:40:55,1,0
5498141,102,2007-06-12 13:55:17,0,0
5498141,103,2007-06-12 14:12:23,1,0
5537454,103,2007-06-12 14:21:46,1,0
3097241,103,2007-06-12 14:28:23,1,0
1108073,103,2007-06-12 17:40:27,1,0
1140414,103,2007-06-12 18:24:59,1,0
1146587,103,2007-06-12 20:08:04,1,0
3693986,103,2007-06-12 21:28:53,1,0
4014974,103,2007-06-13 09:22:20,1,0
4630811,103,2007-06-13 09:25:28,1,0
1096660,103,2007-06-13 10:07:57,1,0
1096660,123,2007-06-13 10:07:57,0,0
1147006,103,2007-06-13 10:41:50,1,0
5633822,103,2007-06-13 11:03:37,1,0
1094918,103,2007-06-13 13:03:33,1,0
1141424,103,2007-06-13 15:27:28,1,0
1115793,103,2007-06-13 16:57:20,1,0
1144868,103,2007-06-13 17:02:09,1,0
1113074,103,2007-06-13 17:49:15,1,0
4093768,103,2007-06-13 19:23:52,1,0
5488535,103,2007-06-13 22:22:00,1,0
2325894,103,2007-06-14 08:34:03,1,0
1149363,103,2007-06-14 08:54:41,1,0
1783804,103,2007-06-14 09:48:55,1,0
1057475,101,2007-06-14 10:24:36,0,0
1046926,103,2007-06-11 18:22:50,1,0
1099721,102,2007-06-14 11:03:53,1,0
1085688,103,2007-06-14 11:11:25,1,0
1020900,103,2007-06-14 11:44:53,1,0
5085851,103,2007-06-14 11:46:52,1,0
3657024,103,2007-06-14 11:50:42,0,0
1057475,103,2007-06-14 12:07:26,1,0
4088625,103,2007-06-14 12:55:38,1,0
1112705,103,2007-06-14 16:34:51,1,0
3812931,103,2007-06-14 16:56:12,1,0
1007045,103,2007-06-14 20:17:55,1,0
5488118,103,2007-06-14 20:48:30,0,0
4088924,103,2007-06-14 21:16:08,1,0
1087730,103,2007-06-15 08:41:51,1,0
5496566,103,2007-06-15 11:02:55,1,0
3655408,103,2007-06-15 11:28:27,1,0
1140222,103,2007-06-15 11:38:42,1,0
5487527,103,2007-06-15 11:46:47,1,0
5501992,103,2007-06-15 11:55:06,1,0
1109351,103,2007-06-15 11:55:23,1,0
1284316,103,2007-06-15 11:58:52,1,0
5557476,103,2007-06-15 12:39:35,1,0
2728951,103,2007-06-15 15:22:02,1,0
1045668,103,2007-06-15 17:35:16,1,0
4094131,104,2007-06-15 20:47:07,0,0
4094131,102,2007-06-15 21:23:48,1,0
3645453,103,2007-06-16 10:03:22,0,0
4092369,103,2007-06-17 15:20:33,1,0
3698077,103,2007-06-17 18:07:15,1,0
1144779,103,2007-06-18 11:11:33,1,0
1112541,101,2007-06-18 13:37:24,1,0
1107596,103,2007-06-18 15:32:41,1,0
1390399,103,2007-06-18 22:22:46,1,0
3625614,103,2007-06-19 01:47:09,1,0
1141725,106,2007-06-19 10:47:56,0,0
1141725,103,2007-06-19 10:51:45,0,0
4087636,103,2007-06-19 12:20:11,1,0
3646743,103,2007-06-19 18:31:22,1,0
1087752,103,2007-06-19 18:34:28,1,0
3645453,102,2007-06-19 21:23:01,1,0
1117198,101,2007-06-20 09:10:22,0,0
1117198,103,2007-06-20 09:15:46,1,0
5488260,103,2007-06-20 09:32:59,1,0
5078727,103,2007-06-20 09:37:17,1,0
4088472,102,2007-06-20 10:41:16,0,0
1092946,103,2007-06-20 10:47:53,1,0
4088472,103,2007-06-20 10:48:46,1,0
669791,103,2007-06-20 12:00:03,1,0
1140837,103,2007-06-20 14:57:08,1,0
1145543,103,2007-06-20 17:13:25,1,0
6698419,103,2007-06-20 17:54:38,1,0
1106299,101,2007-06-20 18:04:37,1,0
1146561,103,2007-06-20 18:16:42,1,0
1074795,103,2007-06-20 18:29:49,1,0
4638860,103,2007-06-20 18:31:18,1,0
1108601,103,2007-06-20 19:30:08,1,0
3165912,103,2007-06-21 09:00:05,0,0
71158309,102,2007-06-21 09:56:23,0,0
1067702,103,2007-06-21 11:07:02,1,0
